"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"gas_price_increase_0005-002"
"06/07/2021 00:25:28:882 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"6","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.314","0.5502857142857143","51.02798378250172","17.442966488742513","0.13809362354230217","130.42681163629686"
"8","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.36","0.532","51.3988430133093","17.286171848794122","0.14516978976342187","130.704905038065"
"7","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","39.4","0.32","0.535714285714286","50.78839822252297","16.47702551501536","0.11763962960902603","128.50718161416867"
"4","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.332","0.552285714285714","51.15028997382824","16.966483783721994","0.12016929376717798","130.09758404529114"
"3","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.392","0.5294285714285714","51.90594393715122","16.754221730410602","0.13617603947770648","130.8378811152078"
"2","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.332","0.5391428571428571","51.13562330429606","17.21014601362388","0.13500095940078155","130.24469761754008"
"1","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.354","0.5431428571428571","51.35617787664854","16.897692423420033","0.12091696954320669","130.35323880358078"
"5","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.328","0.5511428571428572","51.22520405984463","17.559661864574288","0.14305171937686084","130.93409785452624"
"10","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.32799999999999996","0.5537142857142854","51.02210335811201","17.2537234423962","0.12923798710675954","130.22097281738883"
"9","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","44.2","0.29800000000000004","0.5457142857142854","50.82256253868708","17.20995156653436","0.1447550700238054","129.42788732968256"
"12","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.35200000000000004","0.5177142857142858","50.98161825781745","17.38129972584567","0.15083652482025656","129.9706619837535"
"11","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.306","0.5577142857142858","50.90159485608398","17.237056580268582","0.11850330609785686","130.17137078280476"
"13","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.30600000000000005","0.5448571428571429","50.64825614789718","16.81495478990193","0.1176275518889554","128.87382987491918"
"15","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.352","0.5388571428571427","50.84878446171429","16.92294511621659","0.13584837291843854","129.11864615274214"
"14","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","44.2","0.322","0.5534285714285714","51.392203707005585","16.748988200707913","0.12528823706967246","130.0287805959083"
"16","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","44.2","0.302","0.5657142857142854","52.12765513746363","17.043461916997728","0.12985264107618094","131.93077624593715"
"17","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.324","0.5548571428571432","51.42982525740091","17.254874667121996","0.11885917019456116","131.22341028658488"
"18","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","44.2","0.296","0.5451428571428574","50.97464182455247","17.036309792656898","0.13636374942823012","129.55279465429223"
"19","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.324","0.5311428571428571","50.692055393902294","16.78204948336157","0.11956050343371488","128.8711615186272"
"20","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","39.4","0.348","0.5291428571428569","51.48926602311391","16.605782039067236","0.12535799663105252","129.97391756737883"
"21","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.338","0.5497142857142854","51.588717786733405","17.4727515423903","0.13316443611073936","131.67281427381675"
"22","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","75.4","0.45999999999999996","0.516285714285714","56.41369610419759","14.31952502013887","0.09910491250219167","135.4719366705913"
"23","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.3","0.5468571428571432","50.45518796498451","17.049587800381133","0.13243225518220356","128.66231983683207"
"24","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","53.8","0.31799999999999995","0.5582857142857143","52.875193215773294","16.632885482532725","0.10928334512674809","132.95702922841716"
"25","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","44.2","0.302","0.5620000000000003","51.07452332634759","16.952132955702588","0.13268788118991778","129.6495612650908"
"26","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","41.8","0.28","0.5565714285714285","50.10112602178514","17.121805795269157","0.1339410288033193","128.07807353107623"
"27","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.005","4","15","239","51.4","0.34199999999999997","0.5482857142857145","52.82839638769153","16.208112725517168","0.11843318538593053","131.88179718513857"
