"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nu_of_neighborhoods_4_6_8"
"06/06/2021 23:04:33:614 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"2","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","88","0.5075","0.4950000000000001","69.3896335613799","20.455264388302176","0.09033870243691951","135.09173855046777"
"5","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","61","0.37250000000000005","0.5278571428571426","63.91348960291883","24.105218834164575","0.081939552917774","132.53949668966047"
"8","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","49","0.3","0.5603571428571428","58.29586097890947","29.890534580762196","0.0853501528950659","132.7346656920985"
"6","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.325","0.5389285714285719","59.286102669727164","27.473132932459666","0.10248106314278403","130.16936660916812"
"7","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.325","0.5428571428571427","54.803970409888706","31.07109662459145","0.10529765783294494","128.75643511219056"
"1","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.35250000000000004","0.5410714285714286","59.98496843384288","26.648797153033197","0.10449833998458616","129.944015243959"
"3","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","55","0.3325","0.550357142857143","45.389715075988086","43.07382356510422","0.09239750122771967","133.025355183779"
"4","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.28750000000000003","0.5567857142857142","59.024853411718105","27.89856282577199","0.10725009770167589","130.33792654299054"
"9","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","40","0.35250000000000004","0.5260714285714285","60.18649520091969","26.50255926758843","0.11474116795193084","129.81701220643725"
"10","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","58","0.365","0.5317857142857143","63.784603867832324","24.74878331399962","0.09165560745895363","133.12601709189252"
"11","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3275","0.5482142857142858","55.87616965900577","31.225298178915935","0.08862544565061939","130.96639624571768"
"13","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.28","0.5546428571428574","54.33948257540805","31.5257708045896","0.08868453510685725","129.09444287921184"
"14","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3175","0.5464285714285713","59.28449245095874","27.62808456712532","0.12327531109094424","130.00068832183186"
"15","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.29000000000000004","0.5578571428571428","58.67617024406751","27.904790786848825","0.1199007214253669","129.55991091871508"
"12","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","55","0.335","0.5371428571428569","45.58345047919068","43.11633201976533","0.11617372564053029","132.9075014544512"
"16","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.325","0.5560714285714283","59.83385037130903","28.187456249466734","0.11392347904093043","131.87381494299086"
"17","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","40","0.34750000000000003","0.5328571428571425","60.60051633720916","26.420915027333024","0.10206982272658394","130.58341897205557"
"18","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","46","0.3225","0.5553571428571429","61.954428097238655","25.187520257152777","0.08712027791489448","131.10424962523388"
