"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"co2_price_increase_001-002-003"
"06/14/2021 00:29:44:832 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"4","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.368","0.5300000000000002","77.36031041179132","106.69718958820843","2.3042713455315194","131.74790642270295"
"8","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.42200000000000004","0.5150000000000001","82.41232356328446","101.64517643671554","2.29776399791905","131.87805337495234"
"2","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.29000000000000004","0.5476666666666667","75.05210678162055","109.0053932183797","2.3452209453766386","130.92891442580057"
"6","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","41.8","0.326","0.5499999999999998","77.38803085823099","106.66946914176921","2.2922508230818437","131.98831687169647"
"5","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","41.8","0.282","0.5553333333333335","71.23592308187412","112.82157691812584","2.353882390453434","130.75568552426466"
"1","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.30800000000000005","0.5556666666666668","75.78672689142113","108.27077310857882","2.3109437749467276","131.6144578343988"
"7","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.27","0.5556666666666663","73.4941881773032","110.56331182269682","2.315933428130171","131.51466477072992"
"3","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.33799999999999997","0.5456666666666665","76.65477407300683","107.40272592699341","2.333689694099232","131.1595394513487"
"12","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.41","0.5180000000000002","81.55695602914562","102.50054397085431","2.3672172554695665","130.48898822394202"
"11","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.36400000000000005","0.5383333333333331","77.00113199672174","107.05636800327815","2.315204356154767","131.529246210238"
