"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/15/2021 23:14:32:277 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","energy-diversity","insulation-improvement","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump"
"5","3","239","[37 37 37]","[0.41 0.37 0.37]","[0.541666666666667 0.5483333333333333 0.583333333333333]","[79.08719466682126 76.14279348525729 76.9004318385785]","[131.13294021984754 131.3071324632321 133.239533442358]","[0.42 0.33 0.38666666666666666]","[0.28 0.3516666666666667 0.29833333333333334]","[0.20833333333333334 0.3016666666666667 0.275]","[0.09166666666666666 0.016666666666666666 0.04]","[112.26300344892421 115.19346925101755 114.2812388193661]","[0.4209742081400605 0.6084810754492894 0.4494099839497807]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 1 3]","[425 430 439]"
"8","3","239","[37 37 37]","[0.44 0.39 0.35]","[0.5049999999999999 0.5133333333333332 0.5766666666666667]","[87.72307545342842 85.68105036976525 83.89880005011244]","[133.32787730920109 132.0962868764155 131.60925687839608]","[0.38333333333333336 0.5166666666666667 0.33666666666666667]","[0.3466666666666667 0.2833333333333333 0.3933333333333333]","[0.255 0.185 0.24333333333333335]","[0.015 0.015 0.02666666666666667]","[103.45152769516878 105.5920800134548 107.41329273294922]","[0.3734860737258947 0.24505093748713933 0.3453626423266378]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 0 3]","[412 438 440]"
"4","3","239","[37 37 49]","[0.28 0.3 0.31]","[0.5666666666666664 0.5583333333333331 0.5700000000000003]","[73.33446261079214 75.73149724747144 79.63019245515301]","[128.58888729218765 130.80839921097055 134.64294449411597]","[0.5183333333333333 0.3933333333333333 0.4683333333333333]","[0.3 0.37666666666666665 0.2966666666666667]","[0.16 0.185 0.215]","[0.021666666666666667 0.045 0.02]","[118.21925973916608 115.64466414898435 111.43920531865102]","[0.5440396230736249 0.48619509460027316 0.5366621758387368]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 1 1]","[458 442 420]"
"2","3","239","[37 37 37]","[0.42 0.45 0.41]","[0.52 0.5516666666666667 0.5383333333333336]","[87.25626789372043 88.1562619322073 84.1050454630925]","[131.33242042121816 132.74852719356787 134.12446818167194]","[0.5233333333333333 0.2866666666666667 0.365]","[0.20333333333333334 0.415 0.42333333333333334]","[0.20166666666666666 0.27 0.20166666666666666]","[0.07166666666666667 0.028333333333333332 0.01]","[104.0779718059156 103.06468922564063 107.00583041570697]","[0.2354022437764345 0.28689222262248293 0.5611605585969642]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[8 4 2]","[422 420 421]"
"6","3","239","[37 37 37]","[0.26 0.26 0.26]","[0.5316666666666663 0.5466666666666664 0.5816666666666666]","[72.44879233152773 72.24564515343073 74.07221937307975]","[128.24872595738154 130.30358951495865 129.9479952117896]","[0.5483333333333333 0.5033333333333333 0.49166666666666664]","[0.24666666666666667 0.20166666666666666 0.31]","[0.175 0.24166666666666667 0.15833333333333333]","[0.03 0.05333333333333334 0.04]","[119.1321429252149 119.17090101870573 117.37277434331035]","[0.843608038281466 0.5556509166138156 0.49554783878427616]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 2 0]","[464 442 435]"
"3","3","239","[37 37 37]","[0.25 0.34 0.35]","[0.5550000000000002 0.516666666666667 0.5550000000000002]","[73.41742751778044 75.16267517968828 78.76077409741013]","[130.9711299511051 130.412251487622 133.76546344334014]","[0.43333333333333335 0.3616666666666667 0.4666666666666667]","[0.35 0.36 0.23333333333333334]","[0.16 0.23333333333333334 0.26166666666666666]","[0.056666666666666664 0.045 0.03833333333333333]","[117.94571541946455 116.24517803463523 112.37882216045597]","[0.42218789349516705 0.5651706259744287 0.3226568828677263]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 3 1]","[458 411 420]"
"1","3","239","[37 37 37]","[0.35 0.32 0.33]","[0.5550000000000002 0.5883333333333334 0.5883333333333329]","[98.47993685411807 96.68186593074533 100.9095387733995]","[131.8819028519434 133.718232906383 134.65364279952834]","[0.3983333333333333 0.475 0.425]","[0.315 0.31333333333333335 0.3516666666666667]","[0.24833333333333332 0.185 0.195]","[0.03833333333333333 0.02666666666666667 0.028333333333333332]","[92.81034425105986 94.46150877007743 90.15900313597156]","[0.2937561702469601 0.37418444782416127 0.25933035143366834]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 0 1]","[415 433 410]"
"7","3","239","[37 37 37]","[0.34 0.39 0.23]","[0.5300000000000002 0.5449999999999999 0.5449999999999999]","[77.81268824489844 77.00830914285072 72.5629694795927]","[130.59761601863414 131.55905987015208 129.47639755385546]","[0.5216666666666666 0.305 0.44333333333333336]","[0.25 0.2966666666666667 0.355]","[0.17333333333333334 0.3333333333333333 0.16]","[0.055 0.065 0.041666666666666664]","[113.58033580694426 114.30779940087042 118.91975204943222]","[0.21988270364225843 0.5940563202804591 0.3485743451909344]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 5 0]","[443 407 446]"
"9","3","239","[37 37 37]","[0.32 0.38 0.39]","[0.5399999999999996 0.5216666666666665 0.4950000000000001]","[75.39833614378003 76.0538322189764 78.35481817533915]","[129.57846928751718 130.32023001335156 130.9133380492092]","[0.64 0.38666666666666666 0.355]","[0.15833333333333333 0.3 0.4266666666666667]","[0.14833333333333334 0.26166666666666666 0.185]","[0.05333333333333334 0.051666666666666666 0.03333333333333333]","[116.07621964655193 115.36138271328883 113.01294811405747]","[0.45119271171574066 0.5708906324394817 0.7191178049237006]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 2 4]","[456 435 446]"
"10","3","239","[37 37 37]","[0.28 0.33 0.25]","[0.5566666666666671 0.5516666666666663 0.5449999999999999]","[72.99276960415425 75.1953394413798 71.494251199923]","[129.25988626041388 130.60825717739348 130.58083908631443]","[0.45 0.4766666666666667 0.3416666666666667]","[0.345 0.31666666666666665 0.41833333333333333]","[0.17833333333333334 0.17666666666666667 0.23666666666666666]","[0.02666666666666667 0.03 0.0033333333333333335]","[118.5072728283459 116.19683331776203 119.90011500650516]","[0.5457025150252206 0.636398540145225 0.5143856630660614]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 2 0]","[455 439 435]"
