"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/15/2021 17:37:16:366 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","energy-diversity","insulation-improvement","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-tea","count-ates","count-woodpellet","count-solar","count-heatpump"
"5","3","239","[37 37 37]","[0.39 0.4 0.4]","[0.5350000000000001 0.5149999999999997 0.5016666666666669]","[82.35678694881645 82.18642430505734 82.66625569044191]","[131.1986060696073 130.93487245169035 132.81479068545778]","[0.5366666666666666 0.5783333333333334 0.425]","[0.23 0.19 0.25666666666666665]","[0.16833333333333333 0.15666666666666668 0.2816666666666667]","[0.065 0.075 0.03666666666666667]","[108.98815789894849 109.17961923214064 108.54939438805482]","[0.35152209944192453 0.4862306713564019 0.6375897604227355]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 0 0]","[426 431 405]"
"1","3","239","[37 37 37]","[0.46 0.39 0.31]","[0.5150000000000001 0.4833333333333334 0.5533333333333332]","[86.87873323811986 83.73810044070623 78.95429401985866]","[134.00743271409627 129.35677815706913 131.75823605663004]","[0.31333333333333335 0.355 0.44333333333333336]","[0.41333333333333333 0.345 0.35333333333333333]","[0.25 0.25666666666666665 0.185]","[0.023333333333333334 0.043333333333333335 0.018333333333333333]","[104.24150547808561 107.75419064006142 112.34588042894435]","[1.1763877647318266 0.3887958308690728 0.6445628856858711]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 3 5]","[418 408 441]"
"7","3","239","[37 37 37]","[0.39 0.35 0.39]","[0.5116666666666667 0.5750000000000002 0.5333333333333332]","[79.4084682452002 79.23133920016856 80.8715750456473]","[130.37127018770101 135.67163776733523 135.31769184637943]","[0.31333333333333335 0.455 0.605]","[0.41333333333333333 0.33166666666666667 0.21833333333333332]","[0.25166666666666665 0.18666666666666668 0.14]","[0.021666666666666667 0.02666666666666667 0.03666666666666667]","[112.00266347311697 111.75576311177785 110.14384293997561]","[0.4983971755520219 0.3845774754534656 0.5194023885342589]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 2 2]","[410 433 434]"
"8","3","239","[37 37 37]","[0.26 0.36 0.22]","[0.5333333333333332 0.5499999999999998 0.5683333333333334]","[74.83789789794623 79.63692187294228 72.29175280201903]","[126.57760059460568 135.56223111640986 130.25491528236813]","[0.31 0.3883333333333333 0.46]","[0.42833333333333334 0.24 0.3466666666666667]","[0.23666666666666666 0.25166666666666665 0.17666666666666667]","[0.025 0.12 0.016666666666666666]","[116.87672738781859 111.35893297107837 119.12868730872488]","[0.27419974484696286 0.5326891166277754 0.5252772731753855]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 1 4]","[449 410 451]"
"3","3","239","[37 37 37]","[0.35 0.41 0.27]","[0.5383333333333331 0.5366666666666666 0.5716666666666668]","[80.49115303149772 82.18713314172265 77.18178382198076]","[131.86802776576528 131.44134892300798 129.27925764184224]","[0.32666666666666666 0.335 0.43666666666666665]","[0.4216666666666667 0.26666666666666666 0.37666666666666665]","[0.22166666666666668 0.33666666666666667 0.15333333333333332]","[0.03 0.06166666666666667 0.03333333333333333]","[110.8002380805745 109.13839227776988 114.3167089000052]","[0.330489647050655 0.492005149969343 0.4184355565025875]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[3 0 0]","[436 432 467]"
"6","3","239","[37 37 37]","[0.33 0.34 0.38]","[0.5216666666666665 0.5116666666666667 0.5350000000000001]","[77.12109239945868 78.21980896483244 79.49561566360258]","[130.12920960359426 130.46687587949054 131.22372216461565]","[0.5266666666666666 0.39 0.5566666666666666]","[0.31833333333333336 0.3416666666666667 0.23833333333333334]","[0.13833333333333334 0.23 0.18666666666666668]","[0.016666666666666666 0.03833333333333333 0.018333333333333333]","[114.30940416558715 113.18367429814164 111.84731989656166]","[0.31211110442269757 0.45352013143844494 0.5280528381176839]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 2 2]","[457 429 424]"
"4","3","239","[37 37 37]","[0.37 0.34 0.36]","[0.5116666666666667 0.5300000000000002 0.52]","[81.65506225282847 80.54497371669599 78.77210658509863]","[132.657240161088 130.8509985674635 128.51307774584816]","[0.4666666666666667 0.5533333333333333 0.3383333333333333]","[0.3283333333333333 0.275 0.37]","[0.19 0.14333333333333334 0.245]","[0.015 0.028333333333333332 0.04666666666666667]","[109.57319186761782 110.82777973124024 112.78768052856685]","[0.33798348248308197 0.816415715699988 1.0821308536674799]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[4 2 1]","[434 442 439]"
"2","3","239","[37 37 37]","[0.29 0.22 0.27]","[0.5366666666666666 0.5333333333333332 0.5500000000000003]","[75.105212510847 73.06476788304957 76.30528978077454]","[128.40444701188162 129.48963403265688 129.5517918685679]","[0.4866666666666667 0.4033333333333333 0.4166666666666667]","[0.2683333333333333 0.3333333333333333 0.38166666666666665]","[0.215 0.23166666666666666 0.17333333333333334]","[0.03 0.03166666666666667 0.028333333333333332]","[116.46326506153576 118.41689472767115 115.17140020307335]","[0.3517837346982434 0.4605060020570717 0.45307921901654297]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 1 7]","[433 438 438]"
"9","3","239","[37 37 37]","[0.28 0.27 0.31]","[0.585 0.5399999999999996 0.5550000000000002]","[74.95718227457948 74.04547153016576 75.88774435027177]","[131.33262872029894 130.5746120488527 129.55980095705587]","[0.36333333333333334 0.34 0.5116666666666667]","[0.3983333333333333 0.41 0.2816666666666667]","[0.23 0.225 0.17333333333333334]","[0.008333333333333333 0.025 0.03333333333333333]","[116.37704076112992 117.34939283925941 115.58830490649707]","[0.36098769513936235 0.5116963528470546 0.2743389045893391]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[2 2 2]","[433 462 436]"
"10","3","239","[37 37 37]","[0.41 0.39 0.4]","[0.52 0.5066666666666664 0.5816666666666666]","[81.98733773790573 83.13709079090285 82.67488305706692]","[129.68425863993204 134.65608177441305 132.36879258009577]","[0.39166666666666666 0.4533333333333333 0.34]","[0.3283333333333333 0.26 0.375]","[0.25166666666666665 0.26166666666666666 0.255]","[0.028333333333333332 0.025 0.03]","[109.4787549042331 107.93125600047748 108.57644686985884]","[0.8692063960426325 0.47259657986424786 0.43572457708747925]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 2 2]","[433 420 422]"
