"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/22/2021 14:06:56:710 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump"
"4","3","239","[37 37 37]","[15 15 15]","[0.29 0.39 0.23]","[89.49455923901708 90.75391996281549 90.7939573972562]","[139.35982794346634 136.4082397548033 141.18124634415585]","[0.3883333333333333 0.4666666666666667 0.5533333333333333]","[0.395 0.24666666666666667 0.29]","[0.185 0.24333333333333335 0.14]","[0.03166666666666667 0.043333333333333335 0.016666666666666666]","[72.29165452550572 71.26842085680042 70.8465428952113]","[0.7955461518085188 0.7431737310958991 0.5664120418450439]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 0 0]","[400 365 436]"
"8","3","239","[37 37 37]","[14 14 15]","[0.49 0.57 0.45]","[95.85853944297862 94.97375982298585 95.79267504740244]","[143.50962950672027 141.09774338112425 141.63331413810167]","[0.39 0.35333333333333333 0.40166666666666667]","[0.325 0.3333333333333333 0.30833333333333335]","[0.2683333333333333 0.2783333333333333 0.24666666666666667]","[0.016666666666666666 0.035 0.043333333333333335]","[65.59569019648384 66.67342070652414 65.81165982154954]","[0.9608395287299417 0.9291238444607728 0.438606893835164]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 3 1]","[326 326 398]"
"3","3","239","[37 37 37]","[14 15 15]","[0.5 0.41 0.39]","[93.14556487047874 91.38237636951135 96.166393942591]","[142.87292580756855 138.49176252361022 142.05233248800468]","[0.345 0.34 0.30833333333333335]","[0.425 0.36833333333333335 0.295]","[0.21833333333333332 0.2683333333333333 0.365]","[0.011666666666666667 0.023333333333333334 0.03166666666666667]","[68.35960106491589 70.47328262859982 65.40441945836866]","[1.1601733503755765 1.3075836144170336 1.489624740916889]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 0 2]","[344 349 314]"
"7","3","239","[37 37 37]","[15 15 15]","[0.16 0.26 0.4]","[87.81746837642432 87.54165906631079 90.60563600752661]","[138.3538080220869 136.82807048285605 137.4441534807033]","[0.4066666666666667 0.4116666666666667 0.475]","[0.38 0.35333333333333333 0.275]","[0.18833333333333332 0.22333333333333333 0.19666666666666666]","[0.025 0.011666666666666667 0.05333333333333334]","[74.0492269818088 74.44709529506075 71.33383171401726]","[0.6029900218993804 0.6102743263280025 1.278785917705344]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 4 1]","[429 394 375]"
"5","3","239","[37 37 37]","[14 14 14]","[0.54 0.47 0.54]","[95.98173193649816 91.34462841715678 92.68507607858515]","[144.5162355899593 140.7071063576791 141.49533968938346]","[0.475 0.33 0.285]","[0.3283333333333333 0.37166666666666665 0.45]","[0.16333333333333333 0.27166666666666667 0.245]","[0.03333333333333333 0.02666666666666667 0.02]","[65.39196921630527 70.3338030742289 68.9302967462641]","[0.8398901060096908 1.5322690303820181 1.79804533155493]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[0 1 1]","[346 318 318]"
"6","3","239","[37 37 37]","[14 15 15]","[0.4 0.3 0.39]","[90.09988030885847 90.71715410052478 94.12772443843022]","[137.3966674730068 139.6542583056963 143.1979884019066]","[0.4816666666666667 0.4 0.40166666666666667]","[0.29833333333333334 0.36333333333333334 0.32]","[0.19166666666666668 0.21166666666666667 0.25666666666666665]","[0.028333333333333332 0.025 0.021666666666666667]","[71.84338629330091 71.04550523501949 67.35143648941724]","[1.2511710226565491 0.6303346113875709 0.5620579351308564]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 4 1]","[370 392 376]"
"1","3","239","[37 37 37]","[15 15 15]","[0.45 0.3 0.28]","[92.09078868777671 89.94726893019546 91.8274955883241]","[139.29273235683598 136.8442996002972 137.63958507750067]","[0.31333333333333335 0.4716666666666667 0.4166666666666667]","[0.27666666666666667 0.2816666666666667 0.36666666666666664]","[0.38333333333333336 0.195 0.19]","[0.02666666666666667 0.051666666666666666 0.02666666666666667]","[69.70079272367646 72.0401871017807 70.096337605476]","[1.6971275467062032 0.8364744879876486 1.235319010304147]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 2 3]","[339 401 359]"
"2","3","239","[37 37 37]","[15 15 15]","[0.32 0.29 0.39]","[90.75526141816846 88.07480102337887 90.89365327448529]","[139.11638593188476 136.97913938723246 138.27622834485175]","[0.36666666666666664 0.41 0.56]","[0.35333333333333333 0.33 0.14333333333333334]","[0.25 0.23 0.23666666666666666]","[0.03 0.03 0.06]","[71.05042770728083 73.9018678256426 70.97924845792669]","[0.5472000650223181 1.1095861221121592 0.730319060157738]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 2 0]","[385 364 383]"
"9","3","239","[37 37 37]","[15 15 15]","[0.45 0.33 0.35]","[97.22421997884345 90.69200782740448 90.53517632880185]","[140.88458399531987 136.64789764934395 137.7104256689385]","[0.46166666666666667 0.6183333333333333 0.37166666666666665]","[0.2 0.13666666666666666 0.3416666666666667]","[0.2816666666666667 0.18 0.25666666666666665]","[0.056666666666666664 0.065 0.03]","[64.44001330153104 71.31116036064809 71.38298961768318]","[0.4952533096394677 0.5197693982914469 0.9120527609236344]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 3 1]","[380 408 385]"
"10","3","239","[37 37 37]","[14 15 15]","[0.58 0.35 0.43]","[95.87177381459367 92.22609312963546 92.47455429410739]","[140.49010628536692 139.40510134551207 138.3124403212882]","[0.43 0.49 0.2966666666666667]","[0.36 0.27166666666666667 0.3983333333333333]","[0.18166666666666667 0.16833333333333333 0.285]","[0.028333333333333332 0.07 0.02]","[65.82401768257695 69.55649876272378 69.3954504801897]","[1.2122782186720558 0.2839261033995328 1.2941009907933503]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 4 3]","[327 417 355]"
"11","3","239","[37 37 37]","[15 15 15]","[0.36 0.36 0.25]","[89.59953490608784 91.08881715352747 89.21127864754047]","[139.0077066008118 137.05644070731876 138.60483234085805]","[0.395 0.5466666666666666 0.5583333333333333]","[0.30333333333333334 0.235 0.265]","[0.22333333333333333 0.155 0.14833333333333334]","[0.07833333333333334 0.06333333333333334 0.028333333333333332]","[72.21484856584739 70.88166758988707 72.63533476519098]","[1.2196086303735183 0.5414001915106247 0.4443609233857315]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 3 4]","[360 401 410]"
"13","3","239","[37 37 37]","[15 15 15]","[0.34 0.37 0.4]","[91.29039515771012 93.6068137831193 91.82379356923467]","[141.14876510183407 142.7132589982657 138.46474528762653]","[0.35833333333333334 0.4066666666666667 0.35]","[0.35 0.3516666666666667 0.27666666666666667]","[0.2633333333333333 0.225 0.3383333333333333]","[0.028333333333333332 0.016666666666666666 0.035]","[70.35270363414314 67.9111254970196 70.0340268077551]","[0.8465142783949813 0.6234945896069873 0.7351232071667356]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 3 3]","[347 372 379]"
